estaca;area;esfuerzo;size;distancia;mata;cueva;ano;mes ;dia;semana;cant_obs
23;34,9898;1;7;14;5;2;2015;;;;
23;34,9898;1;9;15;6;3;2015;;;;
23;34,9898;1;17;16;16;1;2015;;;;
23;34,9898;1;8;17;6;2;2015;;;;
23;34,9898;1;11;18;9;2;2015;;;;
23;34,9898;1;16;19;12;4;2015;;;;
23;34,9898;1;22;20;18;4;2015;;;;
24;34,9898;1;2;2;2;0;2015;;;;
24;34,9898;1;3;3;3;0;2015;;;;
24;34,9898;1;8;4;8;0;2015;;;;
24;34,9898;1;3;5;3;0;2015;;;;
24;34,9898;1;4;6;3;1;2015;;;;
24;34,9898;1;13;7;9;4;2015;;;;
24;34,9898;1;14;8;13;1;2015;;;;
24;34,9898;1;11;9;10;1;2015;;;;
24;34,9898;1;9;10;8;1;2015;;;;
24;34,9898;1;19;11;18;1;2015;;;;
24;34,9898;1;18;12;17;1;2015;;;;
24;34,9898;1;12;13;12;0;2015;;;;
24;34,9898;1;17;14;15;2;2015;;;;
24;34,9898;1;19;15;17;2;2015;;;;
24;34,9898;1;20;16;19;1;2015;;;;
24;34,9898;1;20;17;17;3;2015;;;;
24;34,9898;1;17;18;16;1;2015;;;;
24;34,9898;1;57;19;53;4;2015;;;;
24;34,9898;1;41;20;35;6;2015;;;;
25;34,9898;1;1;4;1;0;2015;;;;
25;34,9898;1;1;10;1;0;2015;;;;
25;34,9898;1;1;11;1;0;2015;;;;
25;34,9898;1;1;12;0;1;2015;;;;
25;34,9898;1;1;13;1;0;2015;;;;
25;34,9898;1;1;14;1;0;2015;;;;
25;34,9898;1;7;15;5;2;2015;;;;
25;34,9898;1;5;16;4;1;2015;;;;
25;34,9898;1;4;17;4;0;2015;;;;
25;34,9898;1;9;18;5;4;2015;;;;
25;34,9898;1;6;19;4;2;2015;;;;
25;34,9898;1;2;20;0;2;2015;;;;
26;34,9898;1;1;3;1;0;2015;;;;
26;34,9898;1;3;5;3;0;2015;;;;
26;34,9898;1;3;6;3;0;2015;;;;
26;34,9898;1;6;7;6;0;2015;;;;
